BP	blood pressure
BPH	benign prostatic hyperplasia
CAD	coronary artery disease
CHF	congestive heart failure
CKD	chronic kidney disease
COPD	chronic obstructive pulmonary disease
CT	computed tomography
CVA	cerebrovascular accident
DM	diabetes mellitus
DVT	deep vein thrombosis
ED	emergency department
ER	emergency room
ESRD	end-stage renal disease
GERD	gastroesophageal reflux disease
H&P	history and physical
HR	heart rate
HTN	hypertension
MI	myocardial infarction
MRI	magnetic resonance imaging
NKDA	no known drug allergies
PE	pulmonary embolism
PSA	prostate-specific antigen
RR	respiratory rate
SOB	shortness of breath
TIA	transient ischemic attack
URI	upper respiratory infection
UTI	urinary tract infection
c/o	complains of
